Date,JNJ,PFE,NVS,MRK,UNH,GSK,SNY,ABBV,ABT,BMY
12/1/2015,102.36,33.62,85.95,54.57,116.26,40.92,44.05,59.02,45.46,68.26
12/2/2015,102.05,32.9,85.02,53.82,117.64,40.92,43.87,57.72,45.22,67.78
12/3/2015,100.79,32.39,84.56,52.59,115,40,43.12,56.12,44.15,66.45
12/4/2015,102.95,32.8,86.22,53.64,117.74,40.27,43.35,57.18,45.3,69.11
12/7/2015,103.32,32.66,85.58,53.68,115.91,40,43.36,56.27,45.56,68.84
12/8/2015,102.42,32.53,84.97,53.47,115.88,39.5,42.77,56.67,45.55,69.4
12/9/2015,102.15,32.29,83.96,52.82,115.05,39.61,42.24,56.03,44.96,68.56
12/10/2015,102.64,32.36,85.1,53.69,116.21,39.92,41.85,55.78,45.31,68.94
12/11/2015,101.68,32.06,84.52,52.15,115.98,39.31,41.85,54.04,44.36,67.62
12/14/2015,102.15,32.18,84.56,52.2,115.85,39.1,41.51,55.44,44.81,68.64
12/15/2015,104.13,32.26,85.28,52.9,117.61,39.34,42.94,56.39,45.59,70.22
12/16/2015,105.25,32.58,86.51,54.02,118.83,40.24,43.63,57.63,46.05,70.71
12/17/2015,103.64,32.33,85.3,52.66,119.22,39.83,42.94,56.38,45.26,69.28
12/18/2015,101.95,31.99,84.77,51.64,115.82,39.43,42.64,55.74,43.7,67.64
12/21/2015,101.58,32.46,84.68,51.87,117.41,39.82,42.51,56.2,44.04,68.04
12/22/2015,102.71,32.52,84.85,52.1,117.44,39.9,42.8,57.59,44.48,68.31
12/23/2015,103.49,32.56,86.64,52.98,118.69,40.96,43.78,58.58,45.1,68.99
12/24/2015,103.72,32.62,86.47,52.85,118.34,40.93,43.15,58.46,45.1,68.97
12/28/2015,103.22,32.42,86.75,52.84,118.33,40.92,43.08,58.75,45.03,69.17
12/29/2015,104.03,32.83,88.05,53.34,119.82,41.19,43.8,59.45,45.82,69.74
12/30/2015,103.78,32.75,87.53,53.25,118.92,41.04,43.41,59.8,45.27,69.52
12/31/2015,102.72,32.28,86.04,52.82,117.64,40.35,42.65,59.24,44.91,68.79
1/4/2016,100.48,31.95,85.75,52.48,116.46,40.45,42.2,57.61,42.93,67.03
1/5/2016,100.9,32.18,86.21,53.15,116.68,40.68,42.25,57.37,42.92,68.35
1/6/2016,100.39,31.61,85.03,52.42,115.49,40.24,41.79,57.38,42.56,67.15
1/7/2016,99.22,31.4,83.94,51.96,112.09,39.01,41.27,57.21,41.54,65.29
1/8/2016,98.16,31,81.56,51.08,110.16,39.42,40.4,55.65,40.67,63.63
1/11/2016,97.57,31.07,81.64,51.25,109.58,39.29,40,53.88,40.73,62.98
1/12/2016,98.24,31,82.24,51.76,112.26,39.45,40.49,54.84,41.46,63.44
1/13/2016,97.02,30.37,81.09,50.66,109.23,39.16,39.62,51.18,40.28,61.28
1/14/2016,98.89,31.11,82.7,51.8,110.76,40.28,40.04,54.56,41.1,63.51
1/15/2016,97,30.81,80.23,51.14,109.27,38.9,38.61,57.34,40.54,62.78
1/19/2016,97.5,30.69,80.99,51.34,112.58,39.28,40.37,54.99,40.43,63.21
1/20/2016,95.75,30.66,80.49,50.55,114.79,38.95,40.33,57.15,39.96,63.55
1/21/2016,95.94,30.58,79.86,50.92,113.5,39.04,40.34,58.36,39.48,63.13
1/22/2016,96.75,30.71,82.24,51.35,114.33,40.03,41.44,58.83,40.03,64.4
1/25/2016,96.4,30.5,81.62,50.92,113.38,39.68,41.09,58.65,39.66,62.92
1/26/2016,101.18,30.67,82.64,51.45,113.96,40.83,41.75,58.26,40.16,62.69
1/27/2016,102.16,30.52,78.19,50.37,112.33,40.6,41.58,57.11,40.47,61.71
1/28/2016,102.27,30.2,76.54,49.2,111.38,40.64,40.89,55.85,36.71,61.16
1/29/2016,104.44,30.49,77.97,50.67,115.16,41.29,41.64,54.9,37.85,62.16
2/1/2016,104.37,30.17,77.27,50.75,115.89,41.38,41.64,54.39,38.45,60.82
2/2/2016,103.41,30.14,75.83,50.41,113.88,40.9,40.82,53.95,37.88,58.87
2/3/2016,104.14,29.67,76.51,50.05,112.75,42.05,41.03,56.84,38.02,60.12
2/4/2016,103.9,29,75.06,48.59,114.2,40.98,40.59,56.76,38.01,59.7
2/5/2016,100.54,29.03,74.33,49.38,111.72,40.76,39.82,53.12,37.41,59.63
2/8/2016,102,28.56,73.18,48.83,110.02,39.47,39.21,52.89,37.46,60.72
2/9/2016,101.97,29.1,72.62,49.16,111.16,39.34,38.87,53.48,37,61.02
2/10/2016,101.73,29.49,72.99,49.53,112.74,39.13,38.49,52.72,37.21,61.08
2/11/2016,101.7,29.13,72.2,48.85,110.62,39.15,38.37,52.18,36.34,59.52
2/12/2016,101.82,29.36,72.7,49.03,111.82,39.76,38.98,52.58,37.13,60.2
2/16/2016,102.32,29.81,73.29,49.78,115.15,40.46,38.81,53.51,37.99,62.18
2/17/2016,102.5,29.63,73.65,50.6,118.3,39.4,39.33,55.01,38.45,63.92
2/18/2016,104.24,29.55,73.71,50.32,117.45,39.37,39.2,54.55,38.31,63.32
2/19/2016,104.16,29.49,73.71,50.12,117.68,39.76,39.03,54.29,38.53,63.8
2/22/2016,104.75,30.05,74.23,50.77,121.27,39.36,39.12,55.28,39.16,63.7
2/23/2016,104.08,29.96,73.65,50.54,121.15,38.64,38.61,55.07,38.39,62.07
2/24/2016,104.96,30.02,71.71,50.56,120.2,38.54,39.04,54.89,39.2,62.23
2/25/2016,106.38,30.59,72.58,51,121.2,39.5,40.3,56.2,39.63,63.03
2/26/2016,105.78,30.23,72.03,50.64,121.33,39.14,40.15,56,39.52,62.25
2/29/2016,105.21,29.67,71.11,50.21,119.1,38.67,39.55,54.61,38.74,61.93
3/1/2016,107.22,30.04,72.84,51.75,121.67,39.66,40.22,56.34,39.33,64.22
3/2/2016,107.04,29.98,73.43,52.27,121.27,39.4,40.19,55.7,39.34,64.9
3/3/2016,106.65,29.89,72.95,52.1,121.82,39.18,39.62,55.93,38.82,65
3/4/2016,106.5,29.71,72.2,52.08,121.8,39.14,39.81,56.15,39.18,64.71
3/7/2016,106.74,29.79,72.48,52.64,121.76,39.32,39.93,56.4,39.18,66.49
3/8/2016,106.22,29.36,72.21,52.45,121.66,39.71,39.99,55.32,39.17,66.26
3/9/2016,106.84,29.74,72.42,52.36,121.1,39.98,40.24,56.39,39.28,65.54
3/10/2016,107.14,29.59,73.37,53.04,122.09,39.7,40.49,56.23,39.03,64.94
3/11/2016,107.71,30.5,74.44,53.2,125.1,40.35,41.46,57.73,40.37,64.96
3/14/2016,107.66,30.1,73.74,53.08,125.22,40.42,41.64,57.21,40.5,64.12
3/15/2016,107.76,29.54,72.9,52.42,124.85,40.01,41.15,55.62,39.9,63.68
3/16/2016,107.41,29.04,73.29,51.94,124.9,40.05,40.76,56.31,40.18,62.64
3/17/2016,106.74,29.34,73.28,51.53,124.53,40.74,40.4,55.32,40.29,61.47
3/18/2016,107.5,29.45,72.68,52.25,126.72,40.08,39.99,56.57,40.79,62.83
3/21/2016,107.28,30.07,73.68,52.8,126.74,39.97,40.02,56.01,40.76,62.7
3/22/2016,107.38,30.38,74.39,53.03,128.02,39.8,39.9,57.5,41.03,62.8
3/23/2016,108.5,30.19,73.91,53.08,129.79,39.37,39.4,56.36,40.78,62.34
3/24/2016,108.31,30.08,73.3,53.07,128.59,39.56,38.87,56.12,40.75,62.52
3/28/2016,108.23,29.78,73.13,52.83,128.92,39.55,38.75,56.11,40.88,62.77
3/29/2016,109.14,30.05,72.36,53.32,129.83,40.24,39.94,57.05,41.47,64.19
3/30/2016,108.98,30.07,72.55,53.22,129.68,40.7,40.69,57,41.65,63.44
3/31/2016,108.2,29.64,72.44,52.91,128.9,40.55,40.16,57.12,41.83,63.88
4/1/2016,109.19,30.04,71.4,53.7,129.92,40.34,40.33,57.42,42.19,64.91
4/4/2016,108.59,30.72,72.73,54.4,129.49,40.97,41.84,59.21,42.32,65.97
4/5/2016,108.95,31.36,72.6,54.24,127.04,40.36,41.27,58.54,42.04,65.76
4/6/2016,109.42,32.93,75.11,55.63,128.03,41.68,42.78,59.89,43.05,66.54
4/7/2016,109.27,32.76,74.92,55.42,126.87,41.53,42.18,59.3,42.61,66.28
4/8/2016,109.1,32.5,75.22,55.36,125.68,41.55,42.36,58.47,42.37,66.07
4/11/2016,108.97,31.89,75.11,55.05,126.33,41.64,42.19,58.5,42.48,65.98
4/12/2016,109.6,31.96,75.19,55.34,126.8,42.28,42.27,59.89,42.82,66.84
4/13/2016,109.87,32.54,75.45,55.96,127.76,42.52,43.29,59.06,43.35,67.57
4/14/2016,109.84,32.65,76.09,56.45,127.98,42.64,44.19,59.28,43.51,67.87
4/15/2016,110.18,32.5,75.65,56.14,127.33,42.88,43.77,59.51,43.41,68.05
4/18/2016,110.93,32.61,76.3,56.51,127.81,43.16,43.72,59.88,43.95,68.86
4/19/2016,112.68,32.89,76.96,56.86,130.5,43.29,44.19,60.17,43.85,68.91
4/20/2016,113.58,33.23,76.59,56.58,133.93,43.02,44.11,60.48,43.97,69.23
4/21/2016,113.57,33.24,76.28,56.6,132.96,43.15,44.22,61.37,43.88,70.16
4/22/2016,113.32,33.27,76.48,56.74,134.13,43.07,44.2,61.42,44.08,70.68
4/25/2016,113.51,33.21,76.5,56.22,133.78,42.97,44.32,60.97,44.01,70.63
4/26/2016,112.91,33.05,76.89,56.04,134.24,42.71,44.04,60.93,43.88,70.86
4/27/2016,112.77,33,76.98,56.31,132.8,43.47,43.62,60.7,43.83,70.23
4/28/2016,112.48,32.91,76.81,55.74,132.07,43.36,42.85,61.2,40.42,72.26
4/29/2016,112.08,32.71,75.97,54.84,131.68,42.91,41.1,61,38.9,72.18
5/2/2016,112.75,32.8,76.84,55.3,132.1,43.29,41.46,61.44,38.85,71.96
5/3/2016,112.69,33.7,76.11,55.08,132.46,43.14,41.15,61.77,38.55,71.13
5/4/2016,112.22,33.4,74.33,54.81,132.03,42.35,40.38,61.46,38.1,70.78
5/5/2016,112.88,33.57,74.12,54.09,132.31,42.42,39.07,62.34,38.5,71.15
5/6/2016,112.74,33.58,73.05,53.6,132.04,42.13,38.95,62.51,37.97,71.22
5/9/2016,113.72,33.82,74.5,54.1,132.67,42.55,39.45,63.7,37.98,71.34
5/10/2016,114.67,33.8,75.32,54.68,133.57,43.02,40.03,63.74,38.1,71.53
5/11/2016,114.37,33.16,75.14,54.31,130.69,42.24,39.56,62.7,38.01,70.81
5/12/2016,114.23,33.19,74.88,54.12,129.74,42.07,39.24,62.49,38,71.28
